# units: x[m] radius[m] area_ratio[-]
x,radius,area_ratio
0.875331107,0.2774708198,15.7122563
0.8780149836,0.2780638278,15.77948823
0.8806988602,0.2786534574,15.84647945
0.8833827369,0.279239723,15.91322916
0.8860666135,0.2798226386,15.97973654
0.8887504901,0.2804022182,16.04600082
0.8914343667,0.2809784759,16.11202121
0.8941182433,0.2815514254,16.17779696
0.8968021199,0.2821210803,16.24332734
0.8994859965,0.2826874545,16.30861162
0.9021698731,0.2832505614,16.37364909
0.9048537498,0.2838104144,16.43843905
0.9075376264,0.284367027,16.50298082
0.910221503,0.2849204123,16.56727375
0.9129053796,0.2854705836,16.63131717
0.9155892562,0.286017554,16.69511044
0.9182731328,0.2865613364,16.75865296
0.9209570094,0.2871019437,16.8219441
0.923640886,0.2876393888,16.88498326
0.9263247627,0.2881736844,16.94776987
0.9290086393,0.2887048432,17.01030336
0.9316925159,0.2892328777,17.07258317
0.9343763925,0.2897578004,17.13460875
0.9370602691,0.2902796237,17.19637958
0.9397441457,0.2907983599,17.25789513
0.9424280223,0.2913140213,17.3191549
0.9451118989,0.2918266201,17.3801584
0.9477957756,0.2923361682,17.44090515
0.9504796522,0.2928426777,17.50139467
0.9531635288,0.2933461605,17.56162651
0.9558474054,0.2938466285,17.62160022
0.958531282,0.2943440933,17.68131537
0.9612151586,0.2948385668,17.74077153
0.9638990352,0.2953300605,17.7999683
0.9665829119,0.295818586,17.85890527
0.9692667885,0.2963041546,17.91758205
0.9719506651,0.2967867779,17.97599827
0.9746345417,0.2972664671,18.03415356
0.9773184183,0.2977432334,18.09204756
0.9800022949,0.2982170881,18.14967993
0.9826861715,0.2986880422,18.20705032
0.9853700481,0.2991561068,18.26415841
0.9880539248,0.2996212928,18.3210039
0.9907378014,0.3000836111,18.37758646
0.993421678,0.3005430726,18.43390581
0.9961055546,0.3009996879,18.48996166
0.9987894312,0.3014534679,18.54575373
1.001473308,0.301904423,18.60128176
1.004157184,0.3023525639,18.6565455
1.006841061,0.3027979011,18.71154468
1.009524938,0.303240445,18.76627907
1.012208814,0.3036802058,18.82074845
1.014892691,0.3041171941,18.8749526
1.017576567,0.3045514198,18.92889129
1.020260444,0.3049828934,18.98256434
1.022944321,0.3054116247,19.03597153
1.025628197,0.305837624,19.0891127
1.028312074,0.3062609011,19.14198766
1.030995951,0.3066814661,19.19459625
1.033679827,0.3070993287,19.2469383
1.036363704,0.3075144987,19.29901366
1.03904758,0.307926986,19.35082219
1.041731457,0.3083368002,19.40236375
1.044415334,0.3087439509,19.45363821
1.04709921,0.3091484477,19.50464546
1.049783087,0.3095503002,19.55538537
1.052466963,0.3099495177,19.60585786
1.05515084,0.3103461096,19.65606281
1.057834717,0.3107400854,19.70600014
1.060518593,0.3111314544,19.75566977
1.06320247,0.3115202256,19.80507162
1.065886347,0.3119064084,19.85420563
1.068570223,0.3122900118,19.90307173
1.0712541,0.312671045,19.95166987
1.073937976,0.3130495168,20
