# units: altitude[m] ambient_pressure[Pa] thrust[N] thrust_ideal[N] thrust_momentum[N] thrust_pressure[N] isp[s] isp_ideal[s] cf[-] exit_pressure[Pa] exit_ambient_ratio[-] exit_mach[-] exit_velocity[m/s] separation_predicted[-] shock_in_nozzle[-] regime[-]
altitude,ambient_pressure,thrust,thrust_ideal,thrust_momentum,thrust_pressure,isp,isp_ideal,cf,exit_pressure,exit_ambient_ratio,exit_mach,exit_velocity,separation_predicted,shock_in_nozzle,regime
34500,617.2745726,165119.479,165876.0391,155479.953,10396.08609,350.5059195,352.1119008,1.950247219,34384.38661,55.70355258,3.459541588,3236.623056,0,0,under-expanded
35000,574.5945305,165132.6191,165889.1792,155479.953,10409.22625,350.5338126,352.1397939,1.950402419,34384.38661,59.84113107,3.459541588,3236.623056,0,0,under-expanded
35500,535.0952259,165144.78,165901.3401,155479.953,10421.38715,350.5596271,352.1656084,1.950546053,34384.38661,64.25844402,3.459541588,3236.623056,0,0,under-expanded
36000,498.5227239,165156.0398,165912.5999,155479.953,10432.64694,350.5835287,352.18951,1.950679044,34384.38661,68.97255625,3.459541588,3236.623056,0,0,under-expanded
36500,464.6446936,165166.4701,165923.0302,155479.953,10443.07718,350.6056694,352.2116507,1.950802237,34384.38661,74.00146195,3.459541588,3236.623056,0,0,under-expanded
37000,433.2484582,165176.1362,165932.6963,155479.953,10452.74333,350.6261881,352.2321694,1.950916405,34384.38661,79.36412921,3.459541588,3236.623056,0,0,under-expanded
37500,404.1392309,165185.0982,165941.6583,155479.953,10461.70536,350.6452122,352.2511935,1.951022257,34384.38661,85.08054646,3.459541588,3236.623056,0,0,under-expanded
38000,377.1385189,165193.4111,165949.9712,155479.953,10470.01824,350.6628583,352.2688396,1.951120441,34384.38661,91.17177082,3.459541588,3236.623056,0,0,under-expanded
38500,352.0826768,165201.1252,165957.6853,155479.953,10477.73233,350.6792333,352.2852146,1.951211553,34384.38661,97.65997842,3.459541588,3236.623056,0,0,under-expanded
39000,328.8215963,165208.2867,165964.8468,155479.953,10484.89386,350.6944354,352.3004167,1.951296139,34384.38661,104.5685168,3.459541588,3236.623056,0,0,under-expanded
