# units: nozzle.expansion_ratio[-] performance.altitude[m] performance.isp[s] performance.isp_vacuum[s] performance.thrust[N] performance.cf[-] performance.exit_pressure[Pa] performance.exit_mach[-] performance.pressure_ratio[-] status[-]
nozzle.expansion_ratio,performance.altitude,performance.isp,performance.isp_vacuum,performance.thrust,performance.cf,performance.exit_pressure,performance.exit_mach,performance.pressure_ratio,status
26.41957731,10000,334.3282128,357.2059501,157498.3395,1.860232969,24047.61941,3.630763605,0.9074608242,ok
26.41957731,30000,356.1725358,357.2059501,167788.9595,1.981776794,24047.61941,3.630763605,20.08937658,ok
26.41957731,80000,357.2050415,357.2059501,168275.3616,1.987521751,24047.61941,3.630763605,22848.66876,ok
29.04051584,0,263.0813087,359.2345522,123934.7075,1.463808633,21299.82568,3.690301254,0.2102129354,ok
29.04051584,10000,334.0872425,359.2345522,157384.821,1.858892188,21299.82568,3.690301254,0.8037700962,ok
29.04051584,30000,358.0986186,359.2345522,168696.3159,1.992493696,21299.82568,3.690301254,17.79387023,ok
29.04051584,80000,359.2335535,359.2345522,169230.9712,1.998808579,21299.82568,3.690301254,20237.87275,ok
31.92146302,0,255.517562,361.2096311,120371.5098,1.421723249,18867.87754,3.750487241,0.1862114734,ok
31.92146302,10000,333.5675974,361.2096311,157140.022,1.856000835,18867.87754,3.750487241,0.7119981157,ok
31.92146302,30000,359.9610079,361.2096311,169573.667,2.002856202,18867.87754,3.750487241,15.76222124,ok
31.92146302,80000,361.2085333,361.2096311,170161.3625,2.009797548,18867.87754,3.750487241,17927.17511,ok
35.08821286,0,246.9556039,363.1327921,116338.0656,1.374083726,16715.40941,3.811289904,0.1649682646,ok
35.08821286,10000,332.7485468,363.1327921,156754.1763,1.851443562,16715.40941,3.811289904,0.6307725912,ok
35.08821286,30000,361.7603,363.1327921,170421.2937,2.012867629,16715.40941,3.811289904,13.96404978,ok
35.08821286,80000,363.1315854,363.1327921,171067.2912,2.020497587,16715.40941,3.811289904,15882.02335,ok
38.56911824,0,237.3031271,365.0056045,111790.89,1.320376456,14810.20495,3.872677669,0.1461653585,ok
38.56911824,10000,331.6071081,365.0056045,156216.4571,1.845092492,14810.20495,3.872677669,0.5588778067,ok
38.56911824,30000,363.4969551,365.0056045,171239.4128,2.022530538,14810.20495,3.872677669,12.37244234,ok
38.56911824,80000,365.0042781,365.0056045,171949.496,2.030917422,14810.20495,3.872677669,14071.80733,ok
42.39534479,0,226.4584721,366.8295982,106682.0925,1.260035797,13123.73677,3.934621063,0.1295212116,ok
42.39534479,10000,330.1178238,366.8295982,155514.8716,1.836805977,13123.73677,3.934621063,0.4952372533,ok
42.39534479,30000,365.1712841,366.8295982,172028.1708,2.031846659,13123.73677,3.934621063,10.96356715,ok
42.39534479,80000,366.8281402,366.8295982,172808.6974,2.041065559,13123.73677,3.934621063,12469.42199,ok
46.60114987,0,214.3097006,368.6062612,100958.94,1.192438913,11630.75531,3.997093951,0.1147866302,ok
46.60114987,10000,328.2525169,368.6062612,154636.1461,1.826427238,11630.75531,3.997093951,0.4388981137,ok
46.60114987,30000,366.783435,368.6062612,172787.6373,2.040816815,11630.75531,3.997093951,9.716330725,ok
46.60114987,80000,368.6046585,368.6062612,173645.5956,2.05095027,11630.75531,3.997093951,11050.87663,ok
51.22418935,0,200.7335779,370.3370374,94563.37809,1.116900116,10308.92108,4.060074191,0.1017411407,ok
51.22418935,10000,325.9800238,370.3370374,153565.5996,1.813782877,10308.92108,4.060074191,0.389017385,ok
51.22418935,30000,368.3333788,370.3370374,173517.7987,2.049440845,10308.92108,4.060074191,8.612070666,ok
51.22418935,80000,370.3352757,370.3370374,174460.8703,2.060579584,10308.92108,4.060074191,9794.945559,ok
56.30585473,0,185.594455,372.0233253,87431.50403,1.032664642,9138.475781,4.123543881,0.0901897437,ok
56.30585473,10000,323.2659005,372.0233253,152287.006,1.798681245,9138.475781,4.123543881,0.3448494682,ok
56.30585473,30000,369.820895,372.0233253,174218.5512,2.057717522,9138.475781,4.123543881,7.634280893,ok
56.30585473,80000,372.0213889,372.0233253,175255.1797,2.069961273,9138.475781,4.123543881,8682.855568,ok
61.89164372,0,168.7430417,373.6664777,79492.98877,0.9389018259,8101.948535,4.187489319,0.07996001515,ok
61.89164372,10000,320.0721014,373.6664777,150782.4424,1.780910652,8101.948535,4.187489319,0.3057350822,ok
61.89164372,30000,371.2455566,373.6664777,174889.6936,2.06564447,8101.948535,4.187489319,6.768366234,ok
61.89164372,80000,373.6643492,373.6664777,176029.1602,2.079102855,8101.948535,4.187489319,7698.006827,ok
68.03156759,0,150.015057,375.2678012,70670.44143,0.8346975943,7183.893849,4.251900772,0.07089951985,ok
68.03156759,10000,316.3566265,375.2678012,149032.1231,1.760237408,7183.893849,4.251900772,0.271091376,ok
68.03156759,30000,372.606714,375.2678012,175530.9199,2.073218076,7183.893849,4.251900772,6.001423527,ok
68.03156759,80000,375.2654615,375.2678012,176783.4266,2.088011592,7183.893849,4.251900772,6825.723918,ok
74.78059898,0,129.2297477,376.828557,60878.71107,0.7190462186,6370.658332,4.316772133,0.06287350932,ok
74.78059898,10000,312.0731341,376.828557,147014.217,1.736403662,6370.658332,4.316772133,0.2404031253,ok
74.78059898,30000,373.9034782,376.828557,176141.8112,2.080433391,6370.658332,4.316772133,5.322046734,ok
74.78059898,80000,376.8259852,376.828557,177518.5721,2.096694489,6370.658332,4.316772133,6053.034171,ok
82.19916403,0,106.1882589,378.3499615,50024.11943,0.5908412528,5650.173334,4.3821005,0.05576287524,ok
82.19916403,10000,307.1705152,378.3499615,144704.6472,1.709125039,5650.173334,4.3821005,0.2132149076,ok
82.19916403,30000,375.134702,378.3499615,176721.8272,2.087284034,5650.173334,4.3821005,4.720153706,ok
82.19916403,80000,378.3471346,378.3499615,178235.1688,2.105158304,5650.173334,4.3821005,5368.470647,ok
90.35368344,0,80.67184442,379.8331877,38003.61757,0.4488655726,5011.770923,4.447885731,0.04946233332,ok
