# units: altitude[m] ambient_pressure[Pa] thrust[N] thrust_ideal[N] thrust_momentum[N] thrust_pressure[N] isp[s] isp_ideal[s] cf[-] exit_pressure[Pa] exit_ambient_ratio[-] exit_mach[-] exit_velocity[m/s] separation_predicted[-] shock_in_nozzle[-] regime[-]
altitude,ambient_pressure,thrust,thrust_ideal,thrust_momentum,thrust_pressure,isp,isp_ideal,cf,exit_pressure,exit_ambient_ratio,exit_mach,exit_velocity,separation_predicted,shock_in_nozzle,regime
47000,115.8511138,173259.2785,174065.673,165721.3634,8344.309591,367.7846073,369.496374,2.04638743,12161.54833,104.9756704,3.973941466,3449.818291,0,0,under-expanded
47500,108.8578208,173264.1229,174070.5174,165721.3634,8349.153993,367.7948907,369.5066574,2.046444647,12161.54833,111.7195644,3.973941466,3449.818291,0,0,under-expanded
48000,102.295634,173268.6687,174075.0632,165721.3634,8353.699759,367.8045402,369.5163069,2.046498338,12161.54833,118.8862892,3.973941466,3449.818291,0,0,under-expanded
48500,96.12996328,173272.9398,174079.3342,165721.3634,8357.970849,367.8136066,369.5253733,2.046548785,12161.54833,126.5115258,3.973941466,3449.818291,0,0,under-expanded
49000,90.33679305,173276.9528,174083.3473,165721.3634,8361.983901,367.8221253,369.533892,2.046596183,12161.54833,134.6245303,3.973941466,3449.818291,0,0,under-expanded
49500,84.89356575,173280.7235,174087.1179,165721.3634,8365.75454,367.8301294,369.5418961,2.046640719,12161.54833,143.2564202,3.973941466,3449.818291,0,0,under-expanded
50000,79.779093,173284.2664,174090.6608,165721.3634,8369.297443,367.83765,369.5494168,2.046682564,12161.54833,152.4402932,3.973941466,3449.818291,0,0,under-expanded
50500,74.97347234,173287.5953,174093.9898,165721.3634,8372.626399,367.8447165,369.5564833,2.046721883,12161.54833,162.2113522,3.973941466,3449.818291,0,0,under-expanded
51000,70.45800903,173290.7233,174097.1178,165721.3634,8375.754356,367.8513564,369.5631231,2.046758828,12161.54833,172.6070392,3.973941466,3449.818291,0,0,under-expanded
51500,66.21482169,173293.6626,174100.0571,165721.3634,8378.693701,367.8575959,369.5693626,2.046793545,12161.54833,183.6680674,3.973941466,3449.818291,0,0,under-expanded
52000,62.21474684,173296.4336,174102.828,165721.3634,8381.464638,367.8634778,369.5752446,2.046826273,12161.54833,195.4769399,3.973941466,3449.818291,0,0,under-expanded
52500,58.43819598,173299.0497,174105.4441,165721.3634,8384.080735,367.8690311,369.5807979,2.046857172,12161.54833,208.1095784,3.973941466,3449.818291,0,0,under-expanded
53000,54.87369841,173301.5189,174107.9133,165721.3634,8386.549938,367.8742726,369.5860393,2.046886336,12161.54833,221.6280054,3.973941466,3449.818291,0,0,under-expanded
