# units: chamber.pressure[Pa] propellants.mixture_ratio[-] chamber.eta_c_star[-] nozzle.throat_radius[m] nozzle.expansion_ratio[-] propellants.fuel_temperature[K] cooling.wall_thickness[m] cooling.wall_conductivity[W/(m K)] cooling.channel_height[m] cooling.bartz_multiplier[-] performance.thrust[N] performance.isp[s] performance.isp_vacuum[s] performance.mdot[kg/s] performance.exit_pressure[Pa] chamber.temperature[K] chamber.c_star[m/s] cooling.max_wall_temperature[K] cooling.max_heat_flux[W/m^2] cooling.pressure_drop[Pa] cooling.outlet_temperature[K] cooling_energy_residual[-] wall_limit_exceeded[-] coolant_boiling[-] separation_predicted[-] shock_in_nozzle[-] status[-]
chamber.pressure,propellants.mixture_ratio,chamber.eta_c_star,nozzle.throat_radius,nozzle.expansion_ratio,propellants.fuel_temperature,cooling.wall_thickness,cooling.wall_conductivity,cooling.channel_height,cooling.bartz_multiplier,performance.thrust,performance.isp,performance.isp_vacuum,performance.mdot,performance.exit_pressure,chamber.temperature,chamber.c_star,cooling.max_wall_temperature,cooling.max_heat_flux,cooling.pressure_drop,cooling.outlet_temperature,cooling_energy_residual,wall_limit_exceeded,coolant_boiling,separation_predicted,shock_in_nozzle,status
5167957.337,3.373221653,0.9742308572,0.07012086288,19.92658532,113.1827538,0.0006077330177,284.9468928,0.004932595048,1.120670119,122417.9942,279.8513715,351.1491589,44.60639686,32245.8249,3513.341487,1789.641952,872.1845359,50207787.95,3340983.142,536.0703953,1.23627948e-10,1,0,1,0,ok
5527261.325,3.444803301,0.9590841121,0.07007418767,19.9099483,109.068934,0.0005485378804,303.7972904,0.004984103114,0.9174396338,135672.7931,285.1099938,350.5091938,48.52434142,35253.5387,3527.975977,1757.180459,752.836598,46798430.4,3031591.359,464.4602845,1.878769895e-10,0,0,1,0,ok
5478570.941,3.455733814,0.9670028744,0.06998008914,20.14424515,110.1302986,0.0005463946073,332.410387,0.004794785568,1.192010163,132400.4779,283.6220581,350.8913595,47.60240257,34555.08908,3527.693877,1770.668544,879.8223067,55972915.21,4415437.525,562.4383381,2.232590591e-11,1,0,1,0,ok
5500512.984,3.409209637,0.969554041,0.07003266648,20.04246179,109.2859652,0.0006573012868,331.6881688,0.004833640853,1.130784648,132730.7431,284.1293978,351.1122319,47.63593339,34394.28631,3524.493394,1779.17928,862.8593164,53766375.37,4122351.27,538.8020055,9.680860728e-10,1,0,1,0,ok
5428062.393,3.421279313,0.9714022237,0.06986169954,19.87005504,111.7726431,0.0005978719498,307.7160652,0.005013507293,1.037489187,129890.4041,283.5028582,350.8818057,46.71958221,34475.07528,3524.017459,1781.451677,823.3310216,49804823.65,3230840.092,508.3900542,7.686178729e-10,1,0,1,0,ok
5413330.021,3.436054534,0.9589636921,0.06995766217,19.91216141,114.2089259,0.0006094108272,334.9854397,0.005152546998,1.03107546,131788.8438,283.7722458,350.5676734,47.35742226,34458.73234,3525.084059,1757.50633,811.0848789,50163218.68,3060974.949,507.0313473,1.419487463e-09,1,0,1,0,ok
5360443.024,3.455462557,0.9378958545,0.06994753948,20.05474168,114.101069,0.0006271192571,313.5519925,0.004969149113,1.019446773,133496.8159,283.7040962,350.08194,47.98269372,34031.23968,3525.176913,1717.160207,815.4621222,49844178.15,3381842.518,501.9704473,1.627515766e-09,1,0,1,0,ok
5459153.791,3.447521081,0.9576115166,0.06980533858,20.2123626,114.6165773,0.0005872515568,335.8982716,0.004966419601,0.8895322976,132551.1831,283.7320483,350.8417992,47.63811183,34206.6727,3527.106699,1754.276065,723.563712,45680713.25,2892417.427,458.5755429,8.657700421e-10,0,0,1,0,ok
5565700.32,3.33480756,0.947492339,0.06993741103,20.07078902,114.4898753,0.0005979365821,337.4791207,0.005125921625,0.9619646718,137461.2467,285.9813482,350.9954347,49.01419718,33875.63005,3519.064519,1744.885366,770.1399022,49672342.17,3206854.169,475.5691277,3.197700996e-11,0,0,1,0,ok
5530781.301,3.442113078,0.9536320289,0.07013770758,20.04463461,113.6369757,0.0005845278147,321.1441232,0.005101814758,1.112502276,136775.0918,285.1645308,350.6064842,48.90923084,34949.56971,3528.345248,1747.626653,862.2150944,53773088.14,3630479.496,531.3724635,2.011952321e-09,1,0,1,0,ok
5561485.396,3.394231241,0.9428483769,0.0702851499,20.15534737,113.4839363,0.0005930013272,296.5238218,0.004924084388,1.09852151,139748.635,285.9179002,350.7630794,49.84086296,34348.47624,3525.064335,1731.738337,866.7242413,53854254.13,4161354.823,521.555227,1.337948699e-09,1,0,1,0,ok
5300520.755,3.351317839,0.9654298328,0.06994747633,19.97300675,108.3986068,0.000557413665,315.2078496,0.004965847553,1.055709581,126884.0122,281.9554764,351.0792859,45.88869353,32694.05416,3513.872669,1775.443346,818.3260811,50190933.73,3341532.936,513.5996077,1.137777063e-09,1,0,1,0,ok
