# units: cooling.channel_height[m] cooling.wall_thickness[m] cooling.max_wall_temperature[K] cooling.max_heat_flux[W/m^2] cooling.pressure_drop[Pa] cooling.outlet_temperature[K] cooling.total_heat_load[W] cooling.energy_balance_residual[-] performance.isp[s] status[-]
cooling.channel_height,cooling.wall_thickness,cooling.max_wall_temperature,cooling.max_heat_flux,cooling.pressure_drop,cooling.outlet_temperature,cooling.total_heat_load,cooling.energy_balance_residual,performance.isp,status
0.007,0.0015,936.8564922,46057270.8,1417679.499,479.3145331,14141382.01,2.618195461e-09,284.689268,ok
0.007,0.0016,946.4524339,45815419.13,1413785.132,478.3865913,14110091.44,3.431377639e-09,284.689268,ok
0.0075,0.0004,834.8611475,48706176.23,1246768.754,488.7478671,14452961.95,6.018605987e-10,284.689268,ok
0.0075,0.0005,845.6042023,48422179.96,1243132.473,487.73364,14418761.32,7.991251231e-09,284.689268,ok
0.0075,0.0006,856.213896,48142843.92,1239521.297,486.7290996,14384885.69,3.629422373e-11,284.689268,ok
0.0075,0.0007,866.6932255,47868038.57,1235950.42,485.7339175,14351324.85,1.057090467e-10,284.689268,ok
0.0075,0.0008,877.0450974,47597639.32,1232418.182,484.7479524,14318073.94,2.284889724e-10,284.689268,ok
0.0075,0.0009,887.2723133,47331526.63,1228921.561,483.7710225,14285126.77,4.181535404e-10,284.689268,ok
0.0075,0.001,897.3775888,47069585.51,1225465.053,482.8029689,14252478.18,6.875760729e-10,284.689268,ok
0.0075,0.0011,907.3444597,46811946.76,1222042.296,481.8437037,14220125.05,1.048976068e-09,284.689268,ok
0.0075,0.0012,917.1910597,46558590.47,1218643.876,480.8930776,14188062.08,1.51398399e-09,284.689268,ok
0.0075,0.0013,926.9741149,46309062.24,1215276.253,479.9508634,14156281.88,2.093699222e-09,284.689268,ok
0.0075,0.0014,936.6924069,46063264.92,1211946.86,479.0168863,14124778.82,2.798632754e-09,284.689268,ok
0.0075,0.0015,946.2995077,45821104.55,1208646.916,478.0909626,14093546.49,3.13423418e-09,284.689268,ok
0.0075,0.0016,955.7976973,45582490.5,1205320.089,477.1731126,14062583.8,1.322278117e-09,284.689268,ok
0.008,0.0004,845.0062375,48441899.53,1075474.511,487.4284291,14403400.42,1.165856973e-11,284.689268,ok
0.008,0.0005,855.6333447,48161991.89,1072379.337,486.4256383,14369574.13,5.146341641e-11,284.689268,ok
0.008,0.0006,866.1297283,47886630.54,1069317.783,485.4322155,14336063.06,1.341199952e-10,284.689268,ok
0.008,0.0007,876.4982995,47615690.46,1066291.049,484.447968,14302860.77,2.734351409e-10,284.689268,ok
0.008,0.0008,886.7418734,47349051.49,1063292.959,483.4727631,14269962.66,4.825426576e-10,284.689268,ok
0.008,0.0009,896.8592271,47086597.01,1060332.908,482.5064373,14237363.52,7.73949136e-10,284.689268,ok
0.008,0.001,906.8368494,46828727.09,1057394.111,481.5489125,14205060.25,1.159518371e-09,284.689268,ok
0.008,0.0011,916.6982317,46574898.65,1054480.224,480.5999667,14173045.51,1.650587693e-09,284.689268,ok
0.008,0.0012,926.4457928,46324910.43,1051593.328,479.6594071,14141312.9,2.257917351e-09,284.689268,ok
0.008,0.0013,936.1549808,46078664.56,1048740.442,478.7270676,14109857.08,2.991768039e-09,284.689268,ok
0.008,0.0014,945.777078,45836066.7,1045895.374,477.8027818,14078671.66,2.597245966e-09,284.689268,ok
0.008,0.0015,955.2899779,45597025.92,1043035.511,476.8865865,14047757.19,5.937771982e-10,284.689268,ok
0.008,0.0016,964.6958879,45361454.7,1040194.091,475.9725136,14017106.67,4.172242887e-11,284.689268,ok
